t_h,SOC,发电W,耗电W
0.0,0.8007,4.6620652032,0.78
0.16666666666666666,0.8179,6.161446390671649,0.78
0.3333333333333333,0.8316,3.426928244719352,0.78
0.5,0.839,0.0,0.78
0.6666666666666666,0.8363,0.0,0.78
0.8333333333333334,0.8337,0.0,0.78
1.0,0.831,0.0,0.78
1.1666666666666667,0.8385,6.283791272998582,0.78
1.3333333333333333,0.8547,4.247717499265515,0.78
1.5,0.8633,3.3816640526863284,0.78
1.6666666666666667,0.8773,6.131161890178182,0.78
1.8333333333333333,0.8944,4.732276690918173,0.78
2.0,0.9036,3.1351307868203584,0.78
2.1666666666666665,0.9052,0.0,0.78
2.3333333333333335,0.9025,0.0,0.78
2.5,0.8999,0.0,0.78
2.6666666666666665,0.8981,5.464055891298373,0.78
2.8333333333333335,0.9161,5.640964430924709,0.78
3.0,0.9274,3.053692105549212,0.78
3.1666666666666665,0.9374,5.008086597751712,0.78
3.3333333333333335,0.9551,5.985398168023381,0.78
3.5,0.9678,3.225929122078611,0.78
3.6666666666666665,0.974,0.0,0.78
3.8333333333333335,0.9663,0.0,0.78
4.0,0.9637,0.0,0.78
4.166666666666667,0.961,0.0,0.78
4.333333333333333,0.9707,6.306055025584564,0.78
4.5,0.986,3.922112013818713,0.78
4.666666666666667,0.9945,3.6276225322583633,0.78
4.833333333333333,1.0,6.254155517540119,0.78
5.0,1.0,4.385000430329763,0.78
5.166666666666667,1.0,3.298211006349214,0.78
5.333333333333333,0.994,0.0,3.75
5.5,0.9888,0.0,0.78
5.666666666666667,0.9861,0.0,0.78
5.833333333333333,0.9873,5.748260186046922,0.78
6.0,1.0,5.340947724522959,0.78
6.166666666666667,1.0,3.016630915792731,0.78
6.333333333333333,1.0,5.338632995719538,0.78
6.5,1.0,5.7501669774071535,0.78
6.666666666666667,1.0,3.0891578226282195,0.78
6.833333333333333,0.9992,0.0,0.78
7.0,0.9966,0.0,0.78
7.166666666666667,0.9939,0.0,0.78
7.333333333333333,0.9912,0.0,0.78
7.5,1.0,6.254795183138797,0.78
7.666666666666667,1.0,3.6295992019990555,0.78
7.833333333333333,1.0,3.919844037906532,0.78
8.0,0.9949,6.3059466338331465,9.45
8.166666666666666,1.0,4.050115242898076,0.78
8.333333333333334,1.0,3.5222864110588166,0.78
8.5,0.9977,0.0,0.78
8.666666666666666,0.9951,0.0,0.78
8.833333333333334,0.9924,0.0,0.78
9.0,0.9956,5.983886953759125,0.78
9.166666666666666,1.0,5.010569587112184,0.78
9.333333333333334,1.0,3.0531579213835967,0.78
9.5,1.0,5.638921483503603,0.78
9.666666666666666,1.0,5.466272982976182,0.78
9.833333333333334,1.0,3.0227311224551334,0.78
10.0,0.9989,0.0,0.78
10.166666666666666,0.9963,0.0,0.78
10.333333333333334,0.9936,0.0,0.78
10.5,0.991,0.0,0.78
10.666666666666666,1.0,6.13230422207814,0.78
10.833333333333334,1.0,3.3832610143301896,0.78
11.0,0.9912,4.245259647093539,9.45
11.166666666666666,0.9974,6.2842190026616835,0.78
11.333333333333334,1.0,3.742598084421503,0.78
11.5,1.0,3.7973357531968235,0.78
11.666666666666666,0.9975,0.0,0.78
11.833333333333334,0.9948,0.0,0.78
12.0,0.9922,0.0,0.78
12.166666666666666,0.9974,6.160398339022492,0.78
12.333333333333334,1.0,4.664605407232854,0.78
12.5,1.0,3.161639537533015,0.78
12.666666666666666,1.0,5.89552236168125,0.78
12.833333333333334,1.0,5.146412678829325,0.78
13.0,1.0,3.029619800171434,0.78
13.166666666666666,0.9987,0.0,0.78
13.333333333333334,0.996,0.0,0.78
13.5,0.9934,0.0,0.78
13.666666666666666,0.9907,0.0,0.78
13.833333333333334,1.0,5.944060263795712,0.78
14.0,0.9911,3.194114349398979,9.45
14.166666666666666,0.9886,4.589315908732825,0.78
14.333333333333334,1.0,6.189944341449704,0.78
14.5,1.0,3.476201939691854,0.78
14.666666666666666,0.9999,0.0,0.78
14.833333333333334,0.9972,0.0,0.78
15.0,0.9946,0.0,0.78
15.166666666666666,0.9919,0.0,0.78
15.333333333333334,0.9993,6.269900283472484,0.78
15.5,1.0,4.318527622676624,0.78
15.666666666666666,1.0,3.337224177992965,0.78
15.833333333333334,1.0,6.096959756865038,0.78
16.0,1.0,4.804891068044227,0.78
16.166666666666668,1.0,3.109515775797658,0.78
16.333333333333332,0.9984,0.0,0.78
16.5,0.9958,0.0,0.78
16.666666666666668,0.9931,0.0,0.78
16.833333333333332,0.9914,5.399748653149215,0.78
17.0,0.9948,5.698482078509843,9.45
17.166666666666668,0.9945,3.0706183488647216,0.78
17.333333333333332,1.0,4.9366257122082065,0.78
17.5,1.0,6.0273388636544505,0.78
17.666666666666668,1.0,3.2628407524552725,0.78
17.833333333333332,0.9996,0.0,0.78
18.0,0.9969,0.0,0.78
18.166666666666668,0.9943,0.0,0.78
18.333333333333332,0.9916,0.0,0.78
18.5,1.0,6.307495569067176,0.78
18.666666666666668,1.0,3.9878137519382664,0.78
18.833333333333332,1.0,3.572059230890067,0.78
19.0,1.0,6.234224853266642,0.78
19.166666666666668,1.0,4.456981904913072,0.78
19.333333333333332,1.0,3.2588458889184397,0.78
19.5,0.9981,0.0,0.78
19.666666666666668,0.9955,0.0,0.78
19.833333333333332,0.9928,0.0,0.78
20.0,0.993,5.692552073998754,0.78
20.166666666666668,1.0,5.406552575480519,0.78
20.333333333333332,1.0,3.018296082157463,0.78
20.5,1.0,5.271656439863797,0.78
20.666666666666668,1.0,5.803674718492772,0.78
20.833333333333332,1.0,3.112056602177388,0.78
21.0,0.9993,0.0,0.78
21.166666666666668,0.9967,0.0,0.78
21.333333333333332,0.994,0.0,0.78
21.5,0.9914,0.0,0.78
21.666666666666668,1.0,6.271502834696219,0.78
21.833333333333332,1.0,3.687254198445155,0.78
22.0,1.0,3.855642248402952,0.78
22.166666666666668,1.0,6.301178790886803,0.78
22.333333333333332,1.0,4.118244612048823,0.78
22.5,1.0,3.470931699914726,0.78
22.666666666666668,0.9977,0.0,0.78
22.833333333333332,0.9951,0.0,0.78
23.0,0.9924,0.0,0.78
23.166666666666668,0.9946,5.939269382670148,0.78
23.333333333333332,1.0,5.081327618111702,0.78
23.5,1.0,3.039487540131254,0.78
23.666666666666668,1.0,5.579424626955502,0.78
23.833333333333332,1.0,5.528954761096788,0.78
24.0,1.0,3.0305929568841465,0.78
24.166666666666668,0.9989,0.0,0.78
24.333333333333332,0.9963,0.0,0.78
24.5,0.9936,0.0,0.78
24.666666666666668,0.991,0.0,0.78
24.833333333333332,1.0,6.163531771119213,0.78
25.0,1.0,3.430290784399019,0.78
25.166666666666668,1.0,4.175290644147197,0.78
25.333333333333332,1.0,6.294827211653265,0.78
25.5,1.0,3.8038284216447615,0.78
25.666666666666668,1.0,3.7362881675366513,0.78
25.833333333333332,0.9975,0.0,0.78
26.0,0.9948,0.0,0.78
26.166666666666668,0.9922,0.0,0.78
26.333333333333332,0.9964,6.128866725277509,0.78
26.5,1.0,4.737352131033825,0.78
26.666666666666668,1.0,3.1332449844528143,0.78
26.833333333333332,1.0,5.846166062024541,0.78
27.0,1.0,5.2154651982420495,0.78
27.166666666666668,1.0,3.0220930873457204,0.78
27.333333333333332,0.9987,0.0,0.78
27.5,0.996,0.0,0.78
27.666666666666668,0.9934,0.0,0.78
27.833333333333332,0.9907,0.0,0.78
28.0,1.0,5.98841113131595,0.78
28.166666666666668,1.0,3.228415596755059,0.78
28.333333333333332,1.0,4.516708892152228,0.78
28.5,1.0,6.215454175073587,0.78
28.666666666666668,1.0,3.527794861540015,0.78
28.833333333333332,0.9999,0.0,0.78
29.0,0.9896,0.0,3.75
29.166666666666668,0.987,0.0,0.78
29.333333333333332,0.9843,0.0,0.78
29.5,0.9907,6.252864804657829,0.78
29.666666666666668,1.0,4.390009612409974,0.78
29.833333333333332,1.0,3.2953753329791473,0.78
30.0,1.0,6.059951359022917,0.78
30.166666666666668,1.0,4.877226116520446,0.78
30.333333333333332,1.0,3.0869371303228452,0.78
30.5,0.9984,0.0,0.78
30.666666666666668,0.9958,0.0,0.78
30.833333333333332,0.9931,0.0,0.78
31.0,0.9914,5.333998706270054,0.78
31.166666666666668,1.0,5.753972775817007,0.78
31.333333333333332,1.0,3.090657030544192,0.78
31.5,1.0,4.864627860784164,0.78
31.666666666666668,1.0,6.066609454338858,0.78
31.833333333333332,1.0,3.302488886315185,0.78
32.0,0.9892,0.0,9.45
32.166666666666664,0.9762,0.0,0.78
32.333333333333336,0.9736,0.0,0.78
32.5,0.9709,0.0,0.78
32.666666666666664,0.9804,6.305718097080402,0.78
32.833333333333336,0.9961,4.054834143004445,0.78
33.0,1.0,3.5186276855373273,0.78
33.166666666666664,1.0,6.2112194711690565,0.78
33.333333333333336,1.0,4.529364466798579,0.78
33.5,1.0,3.2222250878403793,0.78
33.666666666666664,0.9981,0.0,0.78
33.833333333333336,0.9955,0.0,0.78
34.0,0.9928,0.0,0.78
34.166666666666664,0.993,5.63482860915291,0.78
34.333333333333336,1.0,5.4707014110815715,0.78
34.5,1.0,3.0231760150473197,0.78
34.666666666666664,1.0,5.203487688901972,0.78
34.833333333333336,1.0,5.8549497810303235,0.78
35.0,0.9909,3.137986778107248,9.45
35.166666666666664,0.9864,0.0,0.78
35.333333333333336,0.9837,0.0,0.78
35.5,0.9811,0.0,0.78
35.666666666666664,0.9784,0.0,0.78
35.833333333333336,0.9901,6.285062862809582,0.78
36.0,1.0,3.746815660797135,0.78
36.166666666666664,1.0,3.7930176034551297,0.78
36.333333333333336,1.0,6.293205286375757,0.78
36.5,1.0,4.187437546763444,0.78
36.666666666666664,1.0,3.4219065228057346,0.78
36.833333333333336,0.9979,0.0,0.78
37.0,0.9952,0.0,0.78
37.166666666666664,0.9926,0.0,0.78
37.333333333333336,0.9947,5.892153946650289,0.78
37.5,1.0,5.151265685553409,0.78
37.666666666666664,1.0,3.028990480660466,0.78
37.833333333333336,1.0,5.518133664210098,0.78
38.0,0.9947,5.58994113838766,9.45
38.166666666666664,0.9941,3.0416455084868703,0.78
38.333333333333336,0.9988,0.0,0.78
38.5,0.9961,0.0,0.78
38.666666666666664,0.9935,0.0,0.78
38.833333333333336,0.9908,0.0,0.78
39.0,1.0,6.191822858829222,0.78
39.166666666666664,1.0,3.47972957110977,0.78
39.333333333333336,1.0,4.106273640199798,0.78
39.5,1.0,6.302242181046248,3.75
39.666666666666664,1.0,3.866737237214315,0.78
39.833333333333336,1.0,3.6770511506393784,0.78
40.0,0.9976,0.0,0.78
40.166666666666664,0.995,0.0,0.78
40.333333333333336,0.9923,0.0,0.78
40.5,0.9965,6.0944664456281625,0.78
40.666666666666664,1.0,4.809951614025684,0.78
40.833333333333336,1.0,3.1078403890249717,0.78
41.0,0.9935,5.794493982277679,9.45
41.166666666666664,0.9995,5.283435417375318,0.78
41.333333333333336,1.0,3.017773715132928,0.78
41.5,0.9988,0.0,0.78
41.666666666666664,0.9962,0.0,0.78
41.833333333333336,0.9935,0.0,0.78
42.0,0.9908,0.0,0.78
42.166666666666664,1.0,6.03016802597476,0.78
42.333333333333336,1.0,3.265520673861049,0.78
42.5,1.0,4.444386153087864,0.78
42.666666666666664,1.0,6.237926001228327,0.78
42.833333333333336,1.0,3.581606108503384,0.78
43.0,1.0,3.9762482253403633,0.78
43.166666666666664,0.9973,0.0,0.78
43.333333333333336,0.9947,0.0,0.78
43.5,0.992,0.0,0.78
43.666666666666664,0.9984,6.232718153330267,0.78
43.833333333333336,1.0,4.462023669083291,0.78
44.0,1.0,3.2561993626341437,0.78
44.166666666666664,1.0,6.020209075039401,0.78
44.333333333333336,1.0,4.949140368613032,0.78
44.5,1.0,3.067439008101967,0.78
44.666666666666664,0.9985,0.0,0.78
44.833333333333336,0.9959,0.0,0.78
45.0,0.9932,0.0,0.78
45.166666666666664,0.9906,0.0,0.78
45.333333333333336,1.0,5.807327998094226,0.78
45.5,1.0,3.113768960361793,0.78
45.666666666666664,1.0,4.792233851747411,0.78
45.833333333333336,1.0,6.103133137453452,0.78
46.0,1.0,3.3447959826631513,0.78
46.166666666666664,0.9997,0.0,0.78
46.333333333333336,0.9971,0.0,0.78
46.5,0.9944,0.0,0.78
46.666666666666664,0.9918,0.0,0.78
46.833333333333336,1.0,6.300726085877306,0.78
47.0,1.0,4.1230421133117305,0.78
47.166666666666664,1.0,3.4674323938094447,0.78
47.333333333333336,1.0,6.185184363534492,0.78
47.5,1.0,4.602006555329148,0.78
47.666666666666664,1.0,3.188420223468475,0.78
47.833333333333336,0.9981,0.0,0.78
48.0,0.9955,0.0,0.78
48.166666666666664,0.9928,0.0,0.78
48.333333333333336,0.9921,5.575202682949029,0.78
48.5,1.0,5.5332687736041875,0.78
48.666666666666664,1.0,3.0312611706372614,0.78
48.833333333333336,1.0,5.134260062420037,0.78
49.0,1.0,5.9038918849059465,0.78
49.166666666666664,1.0,3.166897638027295,0.78
49.333333333333336,0.9993,0.0,0.78
49.5,0.9967,0.0,0.78
49.666666666666664,0.994,0.0,0.78
49.833333333333336,0.9914,0.0,0.78
50.0,1.0,6.295448747742084,0.78
50.166666666666664,1.0,3.8081671029908075,0.78
50.333333333333336,1.0,3.7320925798815283,0.78
50.5,1.0,6.282041714312001,0.78
50.666666666666664,1.0,4.257558724430366,0.78
50.833333333333336,1.0,3.375306759680094,0.78
51.0,0.9979,0.0,0.78
51.166666666666664,0.9952,0.0,0.78
