t_h,w_norm_degs
0.0,17.286348731273648
0.016666666666666666,16.581826201620203
0.03333333333333333,15.860293639919934
0.05,15.316583875921545
0.06666666666666667,13.938991654861239
0.08333333333333333,12.751450676109602
0.1,11.845207779417557
0.11666666666666667,11.15208320339085
0.13333333333333333,10.732455324643167
0.15,10.56367681436914
0.16666666666666666,10.405662199457522
0.18333333333333332,10.349155937439912
0.2,10.279811523030332
0.21666666666666667,10.241587783297337
0.23333333333333334,10.190014945169823
0.25,10.163013825249388
0.26666666666666666,10.130772735431368
0.2833333333333333,10.100504719253152
0.3,10.079926787476674
0.31666666666666665,10.050137771227982
0.3333333333333333,10.025138411342073
0.35,10.005358509338828
0.36666666666666664,9.976781079108457
0.38333333333333336,9.951515011275267
0.4,9.931621020400291
0.4166666666666667,9.90322486885808
0.43333333333333335,9.872891688902651
0.45,9.849731486248249
0.4666666666666667,9.82232785957214
0.48333333333333334,9.784352619724839
0.5,9.746901366691594
0.5166666666666667,9.714865341273843
0.5333333333333333,9.675267253726709
0.55,9.616517992307395
0.5666666666666667,9.542545486038096
0.5833333333333334,9.461836857550589
0.6,9.377635430000941
0.6166666666666667,9.276731863816199
0.6333333333333333,9.13974723344739
0.65,8.965883629253709
0.6666666666666666,8.752238574625698
0.6833333333333333,8.503251997475678
0.7,8.241025311868535
0.7166666666666667,7.973651233559631
0.7333333333333333,7.497063890378511
0.75,7.168467153688869
0.7666666666666667,6.60837591437513
0.7833333333333333,6.060905959258655
0.8,5.560589805350324
0.8166666666666667,5.2971172973809555
0.8333333333333334,4.87573538533683
0.85,4.501800066044244
0.8666666666666667,4.25456632857238
0.8833333333333333,4.139180072666941
0.9,4.046731174240869
0.9166666666666666,4.029386747701094
0.9333333333333333,3.997280382118629
0.95,3.9674381291550946
0.9666666666666667,3.955959679683861
0.9833333333333333,3.9372954025934503
1.0,3.9162577994070955
1.0166666666666666,3.906865272561749
1.0333333333333334,3.8963688749539247
1.05,3.879952378555603
1.0666666666666667,3.8695755558581895
1.0833333333333333,3.863239238560607
1.1,3.851240862333573
1.1166666666666667,3.8387077038290567
1.1333333333333333,3.8322180639223644
1.15,3.8248024739907773
1.1666666666666667,3.8119836918132486
1.1833333333333333,3.801219144379692
1.2,3.795192843279103
1.2166666666666666,3.7858799502014544
1.2333333333333334,3.77118188211979
1.25,3.759196959335119
1.2666666666666666,3.7517587064655515
1.2833333333333334,3.7399648778061314
1.3,3.7204733650850965
1.3166666666666667,3.7020221533643025
1.3333333333333333,3.6898802165004576
1.35,3.6751929364259777
1.3666666666666667,3.6475870097134058
1.3833333333333333,3.610990856578195
1.4,3.57813237743775
1.4166666666666667,3.552434763723428
1.4333333333333333,3.5220800490925654
1.45,3.4723518294092948
1.4666666666666666,3.3993249210079846
1.4833333333333334,3.309803770094239
1.5,3.212145951686579
1.5166666666666666,3.1106458545167297
1.5333333333333334,3.0071973831794176
1.55,2.905454171695237
1.5666666666666667,2.8133878234320266
1.5833333333333333,2.7381107883999745
1.6,2.677596235748297
1.6166666666666667,2.619129987066294
1.6333333333333333,2.5536555537590004
1.65,2.489984340259336
1.6666666666666667,2.4453007915348275
